,FUNC_NAME,FUNC_LINE_NO
8762,static bool qspi_stig_operation_completed( void ),1478
8763,Copyright (2019) Intel Corporation,3
8764,"source code (""Material"") are owned by Intel Corporation or its suppliers or",6
8765,"static bool qspi_ind_valid_address_data_get(uint32_t flash_byte_add, ",99
8766,"static sdm_return_t qspi_init( qspi_handle_t handle, ",128
8767,"static qspi_data_proc_t data_format_ind_op_get( uint32_t flash_byte_add,",134
8768,"static sdm_return_t indiac_read_operation_start( uint32_t flash_byte_add,",142
8769,"static sdm_return_t qspi_stig_cmd_read_32_wa( uint32_t opcode,",151
8770,"static sdm_return_t qspi_stig_cmd_write_wa( uint32_t opcode,",158
8771,"static sdm_return_t qspi_flash_cpu_write_exec(qspi_handle_t handle,",167
8772,static void qspi_data_cleanup( void ),179
8773,"static bool qspi_ind_valid_address_data_get(uint32_t flash_byte_addr, ",204
8774,static uintptr_t qspi_alloc(void),225
8775,static sdm_return_t qspi_free( void ),244
8776,@param handle - Pass in the handler called from  qspi_open(),260
8777,static bool qspi_handle_valid(qspi_handle_t handle),264
8778,"static sdm_return_t qspi_stig_cmd_read_32_wa( uint32_t opcode,",274
8779,"static sdm_return_t qspi_stig_cmd_write_wa( uint32_t opcode,",296
8780,static sdm_return_t qspi_sfdp_calib_get(uint32_t *data),328
8781,static void qspi_dvr_find_width( void ),344
8782,static bool  qspi_flash_busy_get( void ),394
8783,static bool calib_read_successful(void),463
8784,static sdm_return_t qspi_calibration(qspi_handle_t handle),487
8785,static void qspi_reset_flash( uint32_t reset_mask ),576
8786,static sdm_return_t qspi_4_4_4_enable( qspi_handle_t handle ),615
8787,static sdm_return_t qspi_4_byte_add_enter( void ),812
8788,static sdm_return_t qspi_byte_add_cfg( qspi_handle_t handle ),891
8789,static qspi_pow2_sz_t qspi_get_subsector_sz( void ),946
8790,static uint32_t qspi_get_sec_size( void ),974
8791,"static sdm_return_t qspi_init( qspi_handle_t handle, ",993
8792,"static qspi_data_proc_t data_format_ind_op_get( uint32_t flash_byte_add,",1173
8793,static sdm_return_t enqueue_qspi_read_indiac( void ),1208
8794,static void qspi_isr ( void * isr_context ),1257
8795,qspi_handle_t qspi_open( void ),1312
8796,"sdm_return_t qspi_ctrlr_and_mem_init( qspi_handle_t handle, ",1329
8797,sdm_return_t qspi_close(qspi_handle_t handle),1364
8798,"sdm_return_t qspi_cs_set( qspi_handle_t handle, uint32_t cs )",1395
8799,"sdm_return_t qspi_cmd_send( qspi_handle_t handle, qspi_command_t* cmd )",1447
8800,sdm_return_t qspi_recover_state( qspi_handle_t handle ),1515
8801,"sdm_return_t qspi_hps_access_set( qspi_handle_t handle, bool enable )",1582
8802,sdm_return_t qspi_flash_reset(qspi_handle_t handle),1603
8803,"sdm_return_t qspi_parse_sfdp(qspi_handle_t handle, qspi_sfdp_data_t *sfdp_spi_table_data_parsed)",1627
8804,@brief Function that triggers multiple indirect read operations of the maximum erasable size (to avoid die crossing boundary problems). ,1721
8805,"sdm_return_t qspi_flash_cpu_read( qspi_handle_t handle,",1730
8806,sdm_return_t qspi_ctrlr_safe_state(qspi_handle_t handle),1795
8807,"sdm_return_t qspi_post_clock_change( qspi_handle_t handle, ",1816
8808,"static sdm_return_t indiac_read_operation_start( uint32_t flash_byte_add,",1854
8809,"sdm_return_t qpsi_config_start( qspi_handle_t handle,",1945
8810,bool config_read_op_inprogress(qspi_handle_t handle),1970
8811,"static sdm_return_t qspi_ecc_data_read_wait( uint32_t words_thold, uint32_t p_time_out )",1992
8812,"sdm_return_t  dma_read_init_thold_wait(qspi_handle_t handle, ",2026
8813,@brief This function must wait for data (specified as a parameter) to be stored into QSPI ECC. ,2046
8814,"sdm_return_t qspi_enough_rd_data_wait( qspi_handle_t handle, ",2054
8815,sdm_return_t qspi_controller_reset( qspi_handle_t handle ),2072
8816,static uint32_t erasable_sz_conv( uint32_t idx ),2089
8817,"static sdm_return_t send_erase_command( uint32_t idx , uint32_t address)",2094
8818,"sdm_return_t qspi_flash_erase( qspi_handle_t handle,",2147
8819,"qspi_wr_data_info_t qspi_write_info_get( qspi_handle_t handle,",2359
8820,static sdm_return_t qspi_int_busy_write_wait( uint32_t timeout_val ),2379
8821,sdm_return_t qspi_busy_write_wait(qspi_handle_t handle),2400
8822,"sdm_return_t qspi_indiac_write_start(qspi_handle_t handle, ",2411
8823,"static sdm_return_t qspi_flash_cpu_write_exec(qspi_handle_t handle,",2429
8824,"sdm_return_t qspi_flash_cpu_write( qspi_handle_t handle,",2564
8825,uint32_t qspi_flash_words_size_get( qspi_handle_t handle ),2595
8826,sdm_return_t qspi_indiac_write_en( qspi_handle_t handle),2608
8827,sdm_return_t qspi_cancel_operations(qspi_handle_t handle),2627
8828,"sdm_return_t qspi_test_op_range_valid_get(qspi_handle_t handle, ",2639
8829,bool qspi_is_flash_enabled(qspi_handle_t handle),2662
8830,"sdm_return_t set_hps_qspi_direct_access_enable(qspi_handle_t handle, bool enable)",2675
8831,"sdm_return_t set_fpga_qspi_direct_access_enable(qspi_handle_t handle, bool enable)",2686
8832,"sdm_return_t set_qspi_direct_access_secure_mode_enable(qspi_handle_t handle, bool enable)",2697
8833,qspi_sfdp_data_t get_sfdp_data(void),2711
8834,Copyright (2019) Intel Corporation,3
8835,"source code (""Material"") are owned by Intel Corporation or its suppliers or",6
8836,static uint32_t sfdp_param_get_table_len(const uint32_t *sfdp_param_hdr0_data),37
8837,static uint32_t sfdp_param_get_header_id_lsb(const uint32_t *sfdp_param_hdr0_data),54
8838,static uint32_t sfdp_param_get_header_id_msb(const uint32_t *sfdp_param_hdr0_data),66
8839,static uint32_t sfdp_param_get_param_table_ptr(const uint32_t *sfdp_param_hdr0_data),78
8840,static uint32_t sfdp_param_table_get_we_vol_reg(const uint32_t *sfdp_param_table_ptr),84
8841,static uint32_t sfdp_param_table_get_flash_size(const uint32_t *sfdp_param_table_ptr),144
8842,static uint32_t sfdp_param_table_get_addr_bytes(const uint32_t *sfdp_param_table_ptr),176
8843,static uint32_t sfdp_param_table_get_4_4_4_supported(const uint32_t *sfdp_param_table_ptr),182
8844,static uint32_t sfdp_param_table_get_4_4_4_fast_read_dummy_clock(const uint32_t *sfdp_param_table_ptr),188
8845,static uint32_t sfdp_param_table_get_4_4_4_fast_read_mode_clock(const uint32_t *sfdp_param_table_ptr),194
8846,static uint32_t sfdp_param_table_get_4_4_4_fast_read_opcode(const uint32_t *sfdp_param_table_ptr),200
8847,static uint32_t sfdp_param_table_get_sfdp_page_size(const uint32_t *sfdp_param_table_ptr),206
8848,static uint32_t sfdp_param_table_get_status_busy_register_polling(const uint32_t *sfdp_param_table_ptr),221
8849,static uint32_t sfdp_param_table_get_4_4_4_enable_sequence(const uint32_t *sfdp_param_table_ptr),236
8850,static uint32_t sfdp_param_table_get_4_byte_addr_mode(const uint32_t *sfdp_param_table_ptr),251
8851,static uint32_t sfdp_param_table_get_soft_and_recue_support(const uint32_t *sfdp_param_table_ptr),266
8852,"static uint32_t erase_type_time_conversion_to_ms (uint32_t count, uint32_t units)",281
8853,"static void sfpd_param_table_get_erase_size(const uint32_t *sfdp_param_table_ptr, qspi_sfdp_etype_t *erase_type )",303
8854,"void sfdp_param_header_get(const uint32_t *sfdp_param_hdr_data, qspi_sfdp_header_t* sfdp_param_header)",387
8855,"void sfdp_spi_basic_table_get(const uint32_t *sfdp_data, qspi_sfdp_data_t* sfdp_table_entries)",398
8856,void sfdp_multi_die_table_get(const uint32_t *sfdp_param_table_ptr),419
8857,Copyright (2019) Intel Corporation,3
8858,"source code (""Material"") are owned by Intel Corporation or its suppliers or",6
8859,void sdm_fpga_gpo_set_inactive_state(void),38
8860,void sdm_fpga_gpo_set_single_port(uint32_t port_idx),59
8861,void sdm_fpga_gpo_clr_single_port(uint32_t port_idx),85
8862,void sdm_fpga_gpo_write_mbox_mmio(uint32_t val),112
8863,uint32_t sdm_fpga_get_gpi_val(void),137
8864,"static uint32_t iid_puf_ram_bias_check(uint32_t const iid_puf_bias_lb,",43
8865,static uint32_t iid_puf_ram_address_line_check(),148
8866,static uint32_t count_bits(uint32_t word),199
8867,"static uint32_t iid_puf_ram_stability_check(uint32_t const num_iterations,uint32_t const iid_puf_stability_mismatch_max)",219
8868,"uint32_t iid_puf_ram_test(uint32_t const iid_puf_bias_lb, uint32_t const iid_puf_bias_ub,",292
8869,Copyright (2020) Intel Corporation,3
8870,"source code (""Material"") are owned by Intel Corporation or its suppliers or",6
8871,bool is_in_rma_state_user(uint32_t rma_counter_bit),53
8872,@brief  It converts the 24-bit RMA counter fuse value (stored in,140
8873,uint32_t get_rma_counter_value(uint32_t rma_counter_bit),153
8874,bool is_in_rma_state_manufacturing(uint32_t rma_counter_bit),227
8875,Copyright (2019) Intel Corporation,3
8876,"source code (""Material"") are owned by Intel Corporation or its suppliers or",6
8877,"smbus_handle_t smbus_open(i2c_mode_t mode, i2c_addr_format_t format, i2c_bus_speed_t speed, uint16_t device_address, uint32_t i2c_freq_mhz)",38
8878,"sdm_return_t smbus_master_transfer(smbus_handle_t handle, smbus_op_t op, uint16_t address, uint8_t command, uint8_t *payload, uint8_t length, bool pec) ",51
8879,sdm_return_t smbus_assert_alert(smbus_handle_t handle),139
8880,sdm_return_t smbus_close(smbus_handle_t handle),145
8881,Copyright (2019) Intel Corporation,3
8882,"source code (""Material"") are owned by Intel Corporation or its suppliers or",6
8883,static bool power_good_ok(uintptr_t base),38
8884,void system_control_key_vault_init(),54
8885,void system_control_vr_aux_init(uint32_t fuse_val),61
8886,void system_control_vr_aux_set_high_trim(uint32_t value),68
8887,void system_control_vr_aux_set_low_trim(uint32_t value),74
8888,void system_control_vr_aux_set_fuse_diode(uint32_t diode_val),80
8889,void system_control_i2c1_rst_deassert(void),88
8890,void system_control_i2c1_rst_assert(void),95
8891,bool system_control_check_vccl_powergood(void),102
8892,void system_control_wait_for_power_good(){,114
8893,void system_control_perif_init(),118
8894,void  system_control_mem_init(),140
8895,void system_control_disable_non_usr_mode_isolation(),172
8896,void system_control_set_rst_fpga_hps_fw_ownership(),203
8897,sdm_return_t system_control_main_ips_init(),215
8898,void system_control_set_cnoc_enable_iossm(),236
8899,void system_control_set_cnoc_select_iossm(),248
8900,void system_control_set_cnoc_return_select_lsm(),260
8901,sdm_return_t system_control_fpga2sdm_brdg_shutdown_graceful(),272
8902,sdm_return_t system_control_fpga2sdm_brdg_shutdown(),328
8903,sdm_return_t system_control_sdm2fpga_brdg_shutdown(),382
8904,void system_control_interface_ctrl_disable_fpga_core(),408
8905,void system_control_interface_ctrl_enable_fpga_core(),416
8906,sdm_return_t system_control_sdm2fpga_brdg_init(),424
8907,sdm_return_t system_control_fpga2sdm_brdg_init(),451
8908,void system_control_io48_avst16_32_enable(),487
8909,void system_control_io48_avst16_32_disable(),494
8910,void  system_control_eccdiag_reset_deassert(uint32_t mem_mask),501
8911,void  system_control_eccdiag_reset_assert(uint32_t mem_mask),509
8912,void  system_control_sdm_reset_assert(uint32_t reset_mask),518
8913,void  system_control_sdm_reset_deassert(uint32_t reset_mask),526
8914,uint32_t system_control_get_sha_hash(hal_system_control_sha_hash_t offset),533
8915,uint32_t system_control_get_debug_reg(hal_system_control_debug_t offset),539
8916,"void system_control_set_bootrom_debug(hal_system_control_bootrom_debug_t offset, uint32_t value)",545
8917,void system_control_set_vr_aux_ctrl_sig(uint32_t dft_bit_mask),552
8918,void system_control_set_fpga_gpio(uint32_t gpio_mask),562
8919,void system_control_clr_fpga_gpio(uint32_t gpio_mask),570
8920,uint32_t system_control_get_fpga_gpio(void),578
8921,"void system_control_set_nsp_dbg(hal_system_control_nsp_dbg_en_t nsp_en, hal_system_control_cfg_dbg_en_t cfg_en)",585
8922,uint32_t system_control_get_nsp_dbg(void),593
8923,uint32_t system_control_get_cfg_dbg(void),599
8924,bool system_control_is_nsp_dbg_disabled(void),605
8925,void system_control_nsp_dbg_disable(void),620
8926,void system_control_nsp_dbg_disable_lock(void),626
8927,bool  system_control_is_nsp_dbg_locked(void),634
8928,void system_control_cfg_dbg_disable(void),646
8929,bool system_control_is_cfg_dbg_disabled(void),652
8930,void system_control_cfg_dbg_disable_lock(void),668
8931,bool  system_control_is_cfg_dbg_locked(void),676
8932,"void system_control_set_cnt_bypass(hal_system_control_cnt_bypass_data_t data_en, hal_system_control_cnt_bypass_clk_t clk_en)",688
8933,bool  system_control_is_cnt_bypass_disabled(void),696
8934,void system_control_cnt_bypass_disable_lock(void),712
8935,bool  system_control_is_cnt_bypass_locked(void),720
8936,void system_control_set_sdm_bypass(hal_system_control_sdm_bypass_en_t sdm_byp_en),732
8937,bool system_control_is_sdm_bypass_disabled(void),738
8938,void system_control_sdm_bypass_disable_lock(void),754
8939,bool system_control_is_sdm_bypass_locked(void),762
8940,void system_control_hps_debug_enable(void),774
8941,void system_control_hps_debug_disable(void),787
8942,bool system_control_is_hps_debug_disabled(void),800
8943,void system_control_hps_debug_disable_lock(void),823
8944,bool system_control_is_hps_debug_locked(void),837
8945,void system_control_set_sdm_cfg_bypass(hal_system_control_sdm_cfg_bypass_t cfg_byp_en),855
8946,bool  system_control_is_sdm_cfg_bypass_disabled(void),860
8947,void system_control_sdm_cfg_bypass_disable_lock(),865
8948,bool system_control_is_sdm_cfg_bypass_locked(),871
8949,void system_control_stickybit_set(uint32_t bit),876
8950,uint32_t system_control_stickybit_get_word(uint32_t word),895
8951,bool system_control_stickybit_get(uint32_t bit),917
8952,uint32_t system_control_get_knwn_metal_key_disable(void),939
8953,bool system_control_is_knwn_metal_key_locked(void),946
8954,uint32_t system_control_get_unknwn_metal_key_disable(void),952
8955,bool system_control_is_unknwn_metal_key_locked(void),959
8956,void system_control_set_cnt_bypass_disable(void),964
8957,void system_control_set_sdm_bypass_disable(void),968
8958,system_control_set_sdm_bypass(HAL_SYSTEM_CONTROL_SDM_BYPASS_DISABLE);      ,970
8959,void system_control_set_sdm_cfg_bypass_disable(void),973
8960,Copyright (2020) Intel Corporation,3
8961,"source code (""Material"") are owned by Intel Corporation or its suppliers or",6
8962,STATIC sdm_return_t system_reset_open_driver_handles(void),81
8963,STATIC void system_reset_close_driver_handles(void),144
8964,sdm_return_t system_reset_big_hammer(void),199
8965,STATIC sdm_return_t system_reset_crypto(void),244
8966,static sdm_return_t system_reset_cnoc(void),493
8967,sdm_return_t system_reset_dma_drain(void),577
8968,Copyright (2019) Intel Corporation,3
8969,"source code (""Material"") are owned by Intel Corporation or its suppliers or",6
8970,static bool timer_handle_valid(timer_handle_t handle),67
8971,static timer_handle_t timer_alloc(timer_type_t timer_type),86
8972,static sdm_return_t timer_free(timer_handle_t timer),119
8973,"static inline void timer_config_set(timer_handle_t timer, uint32_t config)",161
8974,"static inline void timer_period_set(timer_handle_t timer, uint32_t period)",178
8975,bool timer_running(timer_handle_t timer),195
8976,timer_handle_t timer_open(timer_type_t timer_type),211
8977,sdm_int_id_t timer_int_id_get(timer_handle_t timer),225
8978,"sdm_return_t timer_start(timer_handle_t timer, uint32_t config, uint32_t period)",248
8979,sdm_return_t timer_close(timer_handle_t timer),262
8980,uint32_t timer_value_get(timer_handle_t timer),283
8981,sdm_return_t timer_stop(timer_handle_t timer),299
8982,"sdm_return_t timer_stop_period_set(timer_handle_t timer, uint32_t period)",313
8983,uint32_t timer_status_get(timer_handle_t timer),339
8984,uint32_t timer_ctrl_get(timer_handle_t timer),350
8985,"sdm_return_t timer_status_clr(timer_handle_t timer, __attribute__ ((unused))uint32_t value)",360
8986,static void timer_isr(void* base),375
8987,Copyright (2019) Intel Corporation,3
8988,"source code (""Material"") are owned by Intel Corporation or its suppliers or",6
8989,static void timestamp_start(uintptr_t base),38
8990,static uint32_t timestamp_lower_get(uintptr_t base),45
8991,static uint32_t timestamp_upper_get(uintptr_t base),52
8992,timestamp_handle_t timestamp_open(void),59
8993,uint64_t timestamp_get(void),71
8994,void disable_watchdog(),9
8995,Copyright (2017) Intel Corporation,3
8996,"source code (""Material"") are owned by Intel Corporation or its suppliers or",6
8997,/*! This is the unlock access code 0b'101001 (lsb-msb) */,58
8998,STATIC sdm_return_t bbram_read_wait(ALT_KEY_VAULT_BBRAM_raw_t * const ctx),98
8999,STATIC bool bbram_handle_valid(const bbram_handle_t handle),110
9000,STATIC void gen_one_bbram_clock(ALT_KEY_VAULT_BBRAM_raw_t * const ctx),120
9001,STATIC void bbram_unlock_code(ALT_KEY_VAULT_BBRAM_raw_t * const ctx),134
9002,static void __inline__ bbram_clken(),155
9003,static void __inline__ bbram_clkgate(),166
9004,static void __inline__ bbram_source_select(),180
9005,static void __inline__ bbram_init(),192
9006,STATIC void bbram_regs_clean(ALT_KEY_VAULT_BBRAM_raw_t * const ctx),208
9007,static __inline__ ALT_KEY_VAULT_BBRAM_raw_t * const bbram_get_context(bbram_handle_t handle) {,230
9008,bbram_handle_t bbram_open(void),234
9009,sdm_return_t bbram_close(const bbram_handle_t handle),244
9010,"sdm_return_t bbram_write_aes_gp_regs(const bbram_handle_t handle,",261
9011,sdm_return_t bbram_read_gp_register(,268
9012,sdm_return_t bbram_key_clean(const bbram_handle_t handle),312
9013,sdm_return_t bbram_read_testpor_reg(,390
9014,sdm_return_t bbram_write_testpor_reg(,416
9015,"sdm_return_t bbram_read_key(const bbram_handle_t handle,",458
9016,clkmgr_handle_t clkmgr_open(),193
9017,void clkmgr_close(clkmgr_handle_t handle),206
9018,bool clkmgr_handle_valid(clkmgr_handle_t handle),216
9019,"sdm_return_t clkmgr_register_pre_callback(clkmgr_handle_t handle, clkmgr_pre_callback fn, clkmgr_cb_type_t type)",227
9020,static sdm_return_t call_clkmgr_pre_callbacks(clkmgr_context_t* const clkmgr_context_ptr),246
9021,"sdm_return_t clkmgr_register_post_callback(clkmgr_handle_t handle, clkmgr_post_callback fn, clkmgr_cb_type_t type)",264
9022,static sdm_return_t call_clkmgr_post_callbacks(clkmgr_context_t* const clkmgr_context_ptr),283
9023,"sdm_return_t clkmgr_set_mode(clkmgr_handle_t handle, clkmgr_mode_t mode)",335
9024,clkmgr_mode_t clkmgr_get_mode(),348
9025,"sdm_return_t clkmgr_clock_speed_stage(clkmgr_handle_t handle, clkmgr_oscclk_speed_t speed, clkmgr_asclk_speed_t asclk)",364
9026,sdm_return_t clkmgr_clock_update(clkmgr_handle_t handle),540
9027,"STATIC sdm_return_t clkmgr_pll_update(clkmgr_context_t* const clkmgr_context_ptr, clkmgr_pll_t pll_ident)",641
9028,"static sdm_return_t calculate_clock_divisor_integer(uint32_t* divisor, uint32_t input_frequency, uint32_t output_frequency)",710
9029,sdm_return_t clkmgr_setup_divider(clkmgr_handle_t handle),731
9030,"sdm_return_t clkmgr_get_current_pll_settings(clkmgr_handle_t handle, clkmgr_pll_settings_t* current_settings_ptr)",827
9031,"sdm_return_t clkmgr_get_staged_pll_settings(clkmgr_handle_t handle, clkmgr_pll_settings_t* staged_settings_ptr)",863
9032,static sdm_return_t clkmgr_validate_staged_clock(clkmgr_context_t* const clkmgr_context_ptr),899
9033,"static void clkmgr_stash_initial_clock_settings(clkmgr_context_t* const clkmgr_context_ptr, clkmgr_pll_settings_t default_clock)",1022
9034,sdm_return_t clkmgr_set_clk_slices_to_default(clkmgr_handle_t handle),1040
9035,"sdm_return_t clkmgr_set_safe_ref_clk_div(clkmgr_handle_t handle, clkmgr_intosc_div_t value)",1082
9036,sdm_return_t clkmgr_clk_bypass_all(clkmgr_handle_t handle),1111
9037,"static void clkmgr_clk_bypassr_clear(clkmgr_context_t* const clkmgr_context_ptr, uint32_t bypassr_val)",1134
9038,sdm_return_t clkmgr_clk_unbypass_all(clkmgr_handle_t handle),1140
9039,sdm_return_t clkmgr_clk_unbypass_except_ctrl(clkmgr_handle_t handle),1162
9040,static uint32_t __inline pll1_calc_divr(uint32_t refclk_mhz),1186
9041,"STATIC uint32_t pll1_calc_divf(uint32_t refclk_mhz, uint32_t vco_mhz)",1191
9042,static uint32_t pll1_calc_divq(),1214
9043,STATIC uint32_t pll1_calc_post_div_refclk(uint32_t refclk_mhz),1219
9044,static uint32_t pll_get_range(uint32_t clk_post_div_mhz),1242
9045,STATIC uint32_t pll1_get_range(uint32_t refclk_mhz),1283
9046,static uint32_t pll2_calc_divr(uint32_t entry),1288
9047,STATIC uint32_t pll2_calc_divf(uint32_t entry),1304
9048,static uint32_t pll2_calc_divq(),1332
9049,STATIC uint32_t pll2_get_range(uint32_t entry),1337
9050,STATIC sdm_return_t clkmgr_stage_vcocalib_params(clkmgr_context_t* const clkmgr_context_ptr),1354
9051,sdm_return_t clkmgr_set_cnoc_half_speed(clkmgr_handle_t handle),1405
9052,sdm_return_t clkmgr_set_cnoc_full_speed(clkmgr_handle_t handle),1424
9053,sdm_return_t clkmgr_enable_exact_user_clk(clkmgr_handle_t handle),1444
9054,sdm_return_t clkmgr_disable_exact_user_clk(clkmgr_handle_t handle),1473
9055,static sdm_return_t clkmgr_reset_clock_settings(clkmgr_context_t* const clkmgr_context_ptr),1490
9056,static sdm_return_t clkmgr_stage_clock_max_usrclk_speed(clkmgr_context_t* const clkmgr_context_ptr),1536
9057,"static sdm_return_t clkmgr_update_data_plane_speed_stage(clkmgr_context_t* const clkmgr_context_ptr, clkmgr_data_plane_speed_t data_plane_speed)",1583
9058,"static sdm_return_t clkmgr_wait_for_pll_lock(clkmgr_context_t* const clkmgr_context_ptr, clkmgr_pll_t pll_ident)",1619
9059,sdm_return_t clkmgr_pll_is_locked(clkmgr_handle_t handle),1686
9060,"sdm_return_t clkmgr_setup_gpio_debounce_logic(clkmgr_handle_t handle, uint32_t counter)",1709
9061,"sdm_return_t clkmgr_qspi_clock_gate_control(clkmgr_handle_t handle, bool control)",1727
9062,sdm_return_t clkmgr_set_qspi_clock_intosc_mode(clkmgr_handle_t handle),1749
9063,"/*sdm_return_t clkmgr_pll0_pll1_div(clkmgr_handle_t handle, uint32_t pll0_div, uint32_t pll1_div)",1766
9064,sdm_return_t clkmgr_clk_internal(clkmgr_handle_t handle),1786
9065,"static void clkmgr_data_clk_scr_select(clkmgr_context_t* const clkmgr_context_ptr, uint32_t sel)",1799
9066,"static void clkmgr_data_clk_set_cnt(clkmgr_context_t* const clkmgr_context_ptr, uint32_t cnt)",1805
9067,"sdm_return_t clkmgr_data_clk_mux_freq_change_cnt(clkmgr_handle_t handle, uint32_t sel, uint32_t cnt, uint32_t bypass)",1811
9068,static uint32_t refclk_div_get(uint32_t refclk_mhz),1829
9069,uint32_t clkmgr_get_clk_en(void),1851
9070,uint32_t clkmgr_get_clk_en_data(clkmgr_handle_t handle),1858
9071,sdm_return_t clkmgr_set_clk_en_data(clkmgr_handle_t handle),1867
9072,sdm_return_t clkmgr_clear_clk_en_data(clkmgr_handle_t handle),1882
9073,"sdm_return_t get_frequency_of_intosc(clkmgr_handle_t handle, uint32_t *retval)",1896
9074,sdm_return_t clkmgr_set_sense_clk_divider(clkmgr_handle_t handle),1971
9075,bool clkmgr_switch_sdm_sdata_crypto_clk(bool enable),1999
9076,Copyright (2019) Intel Corporation,3
9077,"source code (""Material"") are owned by Intel Corporation or its suppliers or",6
9078,"sdm_return_t cnoc_scramble_enable(const cnoc_handle_t handle,",68
9079,sdm_return_t cnoc_scramble_disable(const cnoc_handle_t handle),90
9080,bool cnoc_scramble_is_enabled(const cnoc_handle_t handle),111
9081,"static sdm_return_t sdm_cnt_addr_assign(const cnoc_handle_t handle, const cnoc_node_t cnoc_node)",138
9082,sdm_return_t sdm_cnt_addr_floorplan_assign(const cnoc_handle_t handle),210
9083,"static sdm_return_t sdm_cnt_addr_fabric_jtag_enable(const cnoc_handle_t handle, const cnoc_node_t cnoc_node)",287
9084,sdm_return_t sdm_cnt_fabric_jtag_enable(const cnoc_handle_t handle),329
9085,"void cnoc_rx_select_dest(const cnoc_handle_t handle, const cnoc_rx_input_sel_t dest)",359
9086,uint32_t cnoc_ret_int_asserted(void),381
9087,uint32_t cnoc_ret_user_int_asserted(void),398
9088,"void cnoc_master_select(const cnoc_handle_t handle, const cnoc_master_select_t master)",412
9089,void cnoc_ctrl_avstif_disable(const cnoc_handle_t handle),477
9090,"sdm_return_t cnoc_esram_tnm_reset(const cnoc_handle_t handle, const bool assert)",488
9091,"sdm_return_t cnoc_ipc_jtagid(const cnoc_handle_t handle, const cnoc_addr_t cnoc_addr, const uint32_t jtagid)",495
9092,"sdm_return_t sdm_cnt_set_node_security_tx1packet(const cnoc_handle_t handle, const cnoc_addr_t cnoc_addr)",515
9093,"static sdm_return_t cnoc_ret_int_wait_for_clear(const cnoc_handle_t handle, const uint32_t timeout_cycles)",552
9094,"sdm_return_t alt_sdm_cnoc_ipc_eram_fuse(const cnoc_handle_t handle,",580
9095,sdm_return_t cnoc_return_reset_fifo(const cnoc_handle_t handle),636
9096,sdm_return_t cnoc_return_select_rdmsg(const cnoc_handle_t handle),649
9097,sdm_return_t cnoc_return_select_crypto_trim_header(const cnoc_handle_t handle),664
9098,uint32_t cnoc_avst_fifo_threshold_get(const cnoc_handle_t handle),676
9099,"sdm_return_t cnoc_avst_fifo_threshold_set(const cnoc_handle_t handle, const uint32_t threshold)",686
9100,static bool sdm_cnt_get_node_security(const cnoc_addr_t cnoc_addr),702
9101,"static sdm_return_t sdm_cnt_set_node_security(const cnoc_handle_t handle, const cnoc_addr_t cnoc_addr, const bool is_secure)",721
9102,"@param viaROM_index: is the start Index for viaROM. (Valid only for viaROM data, rest its 0)",778
9103,"@param viaROM_address: is the starting address of viaROM. (Valid only for viaROM data, rest its 0)",779
9104,"@param viaROM_size: gives the size of data to be read from viaROM in bytes. (Valid only for viaROM data, rest its 0)",780
9105,"int32_t sdm_cnoc_ipc_verify_hash(cnoc_handle_t cnoc_handle, cnoc_addr_t cnoc_addr,",783
9106,Copyright (2017) Intel Corporation,3
9107,"source code (""Material"") are owned by Intel Corporation or its suppliers or",6
9108,__inline__ static sdm_return_t decomp_validate_handle(decomp_handle_t decomp_handle),64
9109,This function must be called after hal_decomp_init() since a toggle is,84
9110,static void decomp_restart_hw(ALT_DC_raw_t * decomp_base),90
9111,static void decomp_system_default(ALT_DC_raw_t * decomp_base),116
9112,static void decomp_system_init(ALT_DC_raw_t * decomp_base),157
9113,static decomp_handle_t decomp_alloc(decomp_id_t decomp_id),184
9114,static sdm_return_t decomp_free(uintptr_t decomp_base),214
9115,decomp_handle_t decomp_open(decomp_id_t decomp_id),239
9116,sdm_return_t decomp_close(decomp_handle_t decomp_handle),257
9117,sdm_return_t decomp_system_bypass(decomp_handle_t decomp_handle),277
9118,sdm_return_t decomp_disable(decomp_handle_t decomp_handle),307
9119,sdm_return_t decomp_enable(decomp_handle_t decomp_handle),343
9120,"sdm_return_t decomp_int_enable(decomp_handle_t decomp_handle, uint32_t mask)",380
9121,"sdm_return_t decomp_int_disable(decomp_handle_t decomp_handle, uint32_t mask)",418
9122,"sdm_return_t decomp_int_clear(decomp_handle_t decomp_handle, uint32_t mask)",456
9123,"sdm_return_t decomp_int_status_get(decomp_handle_t decomp_handle, uint32_t *int_status)",484
9124,"sdm_return_t decomp_status_get(decomp_handle_t decomp_handle, uint32_t *status)",510
9125,bool decomp_check_status_for_error(decomp_handle_t decomp_handle),535
9126,"sdm_return_t decomp_memory_mode_set(decomp_handle_t decomp_handle, decomp_memory_mode_t mode)",583
9127,"sdm_return_t decomp_mode_set(decomp_handle_t decomp_handle, uint32_t mode)",612
9128,"sdm_return_t decomp_method(decomp_handle_t decomp_handle, uint32_t method)",639
9129,This function must be called after alt_sdm_decomp_init() since a toggle is,659
9130,sdm_return_t decomp_restart(decomp_handle_t decomp_handle),665
9131,sdm_return_t decomp_flush(decomp_handle_t decomp_handle),693
9132,sdm_return_t decomp_set_s4(decomp_handle_t decomp_handle),728
